year,month,total_deaths,male_decedents,female_decedents,date
2018,Sep,0,0,0,2018-09-01
2018,Oct,2,2,0,2018-10-01
2018,Nov,3,3,0,2018-11-01
2018,Dec,1,1,0,2018-12-01
2019,Jan,5,4,1,2019-01-01
2019,Feb,3,3,0,2019-02-01
2019,Mar,4,2,2,2019-03-01
2019,Apr,9,6,3,2019-04-01
2019,May,6,6,0,2019-05-01
2019,Jun,0,0,0,2019-06-01
2019,Jul,3,2,1,2019-07-01
2019,Aug,1,1,0,2019-08-01
2019,Sep,2,2,0,2019-09-01
2019,Oct,6,6,0,2019-10-01
2019,Nov,6,4,2,2019-11-01
2019,Dec,3,2,1,2019-12-01
2020,Jan,7,4,3,2020-01-01
2020,Feb,6,5,1,2020-02-01
2020,Mar,1,1,0,2020-03-01
2020,Apr,2,2,0,2020-04-01
2020,May,8,6,2,2020-05-01
2020,Jun,5,2,2,2020-06-01
2020,Jul,13,8,5,2020-07-01
2020,Aug,6,6,0,2020-08-01
2020,Sep,3,2,1,2020-09-01
2020,Oct,3,2,1,2020-10-01
2020,Nov,9,7,2,2020-11-01
2020,Dec,11,9,2,2020-12-01
2021,Jan,12,6,5,2021-01-01
2021,Feb,6,6,0,2021-02-01
2021,Mar,11,7,4,2021-03-01
2021,Apr,7,5,2,2021-04-01
2021,May,13,8,5,2021-05-01
2021,Jun,7,4,2,2021-06-01
2021,Jul,11,7,3,2021-07-01
2021,Aug,17,15,1,2021-08-01
2021,Sep,12,9,3,2021-09-01
2021,Oct,19,16,3,2021-10-01
2021,Nov,11,8,2,2021-11-01
2021,Dec,6,5,1,2021-12-01
2022,Jan,14,10,4,2022-01-01
2022,Feb,9,7,2,2022-02-01
2022,Mar,3,3,0,2022-03-01
2022,Apr,11,9,2,2022-04-01
2022,May,12,11,1,2022-05-01
2022,Jun,10,5,5,2022-06-01
2022,Jul,8,5,3,2022-07-01
2022,Aug,5,2,3,2022-08-01
2022,Sep,9,6,3,2022-09-01
2022,Oct,8,7,1,2022-10-01
2022,Nov,14,10,4,2022-11-01
2022,Dec,7,6,1,2022-12-01
2023,Jan,12,10,2,2023-01-01
2023,Feb,10,9,1,2023-02-01
2023,Mar,10,10,0,2023-03-01
2023,Apr,6,6,0,2023-04-01
2023,May,7,5,2,2023-05-01
2023,Jun,8,8,0,2023-06-01
2023,Jul,8,7,1,2023-07-01
2023,Aug,3,2,1,2023-08-01
2023,Sep,7,7,0,2023-09-01
2023,Oct,4,3,1,2023-10-01
2023,Nov,10,5,4,2023-11-01
2023,Dec,6,6,0,2023-12-01
2024,Jan,13,7,4,2024-01-01
2024,Feb,9,8,0,2024-02-01
2024,Mar,7,6,0,2024-03-01
2024,Apr,8,6,2,2024-04-01
2024,May,6,5,0,2024-05-01
2024,Jun,0,0,0,2024-06-01
2024,Jul,1,1,0,2024-07-01
2024,Aug,3,2,1,2024-08-01
